"ID","Form","Item","Year","School","Content","Teacher","Period","Student","Course","Constructed Response","Multiple Choice Response","Dichotomous Response"
1211453,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,53,"Honors Biology","For humans, our food is the source of our energy because it eventually came form the sun.","A","1"
1211453,"D","PL.Q11.EED11.OE_E","1",2,"Biology",211,4,53,"Honors Biology","The pyramid shows that omnivores are at the top b/c too many of them would unbalance it.","A","0"
1211453,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",211,4,53,"Honors Biology","You need the sun in order to undergo photosynthesis.","B","1"
1211454,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,54,"Honors Biology","It's d because it's impossible to capture all the energy. some would be lost.","D","1"
1211454,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,54,"Honors Biology","It's (D) because it's impossible to capture all the energy. Some would be lost.","D","1"
1211454,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,54,"Honors Biology",.,"C","1"
1211454,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,54,"Honors Biology",.,"C","1"
1211454,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,54,"Honors Biology",.,"A","1"
1211454,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,54,"Honors Biology",.,"A","1"
1211454,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,54,"Honors Biology","It's (C) because some of the energy is lost during the process. The rest is converted into energy in ATP","C","1"
1211454,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,54,"Honors Biology","It's c because some of the energy is lost during the process. The rest is converted into energy in ATP.","C","1"
1211454,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,54,"Honors Biology","It's (c) because the energy in the body increases. The food is energy, since it's going in the body, it increases.","C","1"
1211454,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,54,"Honors Biology","It's c because the energy in the body increases. The food is energy, since it's going in the body, it increases.","C","1"
1211455,"F","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,55,"Honors Biology","Energy can't be destroyed","B","0"
1211455,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,55,"Honors Biology","Because both release energy through light and sound","D","0"
1211455,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,55,"Honors Biology","because food is energy for the body.","A","1"
1211455,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",211,4,55,"Honors Biology","Energy laws lol idk  ¯\_(ツ)_/¯","A","0"
1211455,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",211,4,55,"Honors Biology","It increases because the end result is 36 ATP","C","1"
1211456,"C","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,56,"Honors Biology","Lights are possible to build if you use different conductive materials so it doesn't receive all its energy from the copper wires.","B","0"
1211456,"C","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,56,"Honors Biology","Fireworks will release energy, when burning energy is released not absorbed.","B","0"
1211456,"C","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,56,"Honors Biology","using her feet to push the pedals to create the energy.","D","0"
1211456,"C","PL.Q06.EAS6.OE_E","1",2,"Biology",211,4,56,"Honors Biology","A solar cell is an example of the use of renewable energy course because is continuing to re-use energy.","B","1"
1211456,"C","PL.Q08.EAD8.OE_BCEP","1",2,"Biology",211,4,56,"Honors Biology","Because some amount of renewable energy is transformed to less useful energy which could mean it gets re-used making it not 100% efficiency.","D","1"
1211457,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,57,"Honors Biology","Energy will always be lost in transfer","D","1"
1211457,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,57,"Honors Biology","They release store energy","C","1"
1211457,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,57,"Honors Biology","Her body converts chemical energy to kinetic energy.","A","1"
1211457,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,57,"Honors Biology","We learned about it in Honors bio","A","0"
1211457,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,57,"Honors Biology","The body gains small energy","C","1"
1211458,"B","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,58,"Honors Biology","We'll never get 100% conversion","D","1"
1211458,"B","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,58,"Honors Biology","both cause a chemical reaction","C","1"
1211458,"B","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,58,"Honors Biology","Food's changes  into energy.","A","1"
1211458,"B","PL.Q03.EED3.OE_BCEP","1",2,"Biology",211,4,58,"Honors Biology","The deer and grass both use energy","E","1"
1211458,"B","PL.Q05.EEC5.OE_E","1",2,"Biology",211,4,58,"Honors Biology","Energy is transferred","C","1"
1211460,"C","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,60,"Honors Biology","because you can't.","D","1"
1211460,"C","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,60,"Honors Biology","because a reaction = energy","C","1"
1211460,"C","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,60,"Honors Biology","because food is energy.","A","1"
1211460,"C","PL.Q06.EAS6.OE_E","1",2,"Biology",211,4,60,"Honors Biology","because the sun is renewable.","B","1"
1211460,"C","PL.Q08.EAD8.OE_BCEP","1",2,"Biology",211,4,60,"Honors Biology","because it makes sense.","D","1"
1211461,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",211,4,61,"Honors Biology","The sun creates the water cycle as it absorbs water into the air.","B","1"
1211461,"A","PL.Q02.EET2.OE_E","1",2,"Biology",211,4,61,"Honors Biology","It is chemical as they gain energy by eating the chemicals in them.","B","1"
1211461,"A","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,61,"Honors Biology","The light produced as electricity is brought to produce light as energy is fully transferred to bulb","A","0"
1211461,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,61,"Honors Biology","It both creates energy as it is used as to light energy","C","1"
1211461,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,61,"Honors Biology","The food gives energy to be able to push the bicycle.","A","1"
1211463,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",211,4,63,"Honors Biology","The sun's radiation evaporates bodies of water starting the water cycle.","B","1"
1211463,"A","PL.Q02.EET2.OE_E","1",2,"Biology",211,4,63,"Honors Biology","light energy is converted inside the grass to chemical so to be more accessible for the rest of the chain","B","1"
1211463,"A","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,63,"Honors Biology","incidental mistransfers of energy are never going to be eliminated like electricity instead of light.","D","1"
1211463,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,63,"Honors Biology","Both are increasing energy that is converted to heat then dissapates","C","1"
1211463,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,63,"Honors Biology","the chemical energy (digestion) is converted to kinetic that pushes her up the hill.","A","1"
1211466,"D","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,66,"Honors Biology","lights that use all of the energy it receives already exist.","A","0"
1211466,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,66,"Honors Biology","Neither would release energy.","D","0"
1211466,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,66,"Honors Biology","She gets her energy from the food she has eaten.","A","1"
1211466,"D","PL.Q11.EED11.OE_E","1",2,"Biology",211,4,66,"Honors Biology","It often decreases because there is a loss of energy from producers to consumers.","D","1"
1211466,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",211,4,66,"Honors Biology","There are vitamins within food that are stored to give off energy when eaten.","C","0"
1211467,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",211,4,67,"Honors Biology","Each organism is getting energy of motion","A","0"
1211467,"A","PL.Q02.EET2.OE_E","1",2,"Biology",211,4,67,"Honors Biology","The wolf can only get some energy from the food and most from the deer.","E","0"
1211467,"A","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,67,"Honors Biology","it pushes heat, creates sound, and its a mechanical object.","C","0"
1211467,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,67,"Honors Biology","They energy doesn't look like it is moving.","C","1"
1211467,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,67,"Honors Biology","The energy from ground provides energy to walk up a hill including pushing a bike.","C","0"
1211468,"D","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,68,"Honors Biology","It is impossible to use 100% because not all the energy goes directly to the lightbulb","D","1"
1211468,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,68,"Honors Biology",.,.,.
1211468,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,68,"Honors Biology","Kinetic energy","C","0"
1211468,"D","PL.Q11.EED11.OE_E","1",2,"Biology",211,4,68,"Honors Biology",.,"D","1"
1211468,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",211,4,68,"Honors Biology","Photosynthesis.","B","1"
1211469,"B","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,69,"Honors Biology","It could be true that theire are more lights","B","0"
1211469,"B","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,69,"Honors Biology","You are taking out the engery when they burn and when fire works explode","C","1"
1211469,"B","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,69,"Honors Biology","She uses the pedels on the bike to help","D","0"
1211469,"B","PL.Q03.EED3.OE_BCEP","1",2,"Biology",211,4,69,"Honors Biology","I choose this answer because he would get engery from all of them because they can have energy from the thing it ate.","A","0"
1211469,"B","PL.Q05.EEC5.OE_E","1",2,"Biology",211,4,69,"Honors Biology","They get more energy because they inhabit the mosquitos energy","A","0"
1211470,"F","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,70,"Honors Biology","Impossible because there's not enough energy.","D","1"
1211470,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,70,"Honors Biology","Foreworks release energy and burning coal while smoke is appearing.","C","1"
1211470,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,70,"Honors Biology","Food in the body is giving Keisha the energy to push uphill.","A","1"
1211470,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",211,4,70,"Honors Biology","energy is being absorbed by both because the percent is increasing.","A","0"
1211470,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",211,4,70,"Honors Biology","The total amount of energy increases the cellular respiration.","A","0"
1211471,"D","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,71,"Honors Biology","100% of the electricity cannot go into the light be some of it will be used as other types of energy such as heat","D","1"
1211471,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,71,"Honors Biology","Both will release energy such as light + sound energy","C","1"
1211471,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,71,"Honors Biology","The energy her body has stored will be converted into the energy she'll need to go up the hill","A","1"
1211471,"D","PL.Q11.EED11.OE_E","1",2,"Biology",211,4,71,"Honors Biology","Trophic pyramid shows loss of energy","D","1"
1211471,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",211,4,71,"Honors Biology","We eat vitamins so I assume they give us energy.","C","0"
1211472,"E","PL.Q44.PED11.OE_P","1",2,"Biology",211,4,72,"Honors Biology","Because it make sense","D","1"
1211472,"E","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",211,4,72,"Honors Biology","Because it make sense","C","1"
1211472,"E","PL.Q12.BLS1.OE_B","1",2,"Biology",211,4,72,"Honors Biology",.,"A","1"
1211472,"E","PL.Q16.BLD5.OE_B","1",2,"Biology",211,4,72,"Honors Biology","Because it makes sense","A","0"
1211472,"E","PL.Q17.BLC6.OE_BCEP","1",2,"Biology",211,4,72,"Honors Biology","Because it makes senses","C","1"
1214169,"F","PL.Q44.PED11.OE_P","1",2,"Biology",214,1,69,"Biology","Some energy will be log through heat transfer no matter what.","D","1"
1214169,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,1,69,"Biology","Both use up all potential energy.","C","1"
1214169,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",214,1,69,"Biology","Food gave her energy to move.","A","1"
1214169,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",214,1,69,"Biology","Energy transfer is never a efficient process due to a multitude of factors, so I imagine that not all of the energy is converted.","B","1"
1214169,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",214,1,69,"Biology","The end result of cellular respiration results in CO2 and H2) which are not needed, and energy.","A","0"
1214170,"D","PL.Q44.PED11.OE_P","1",2,"Biology",214,1,70,"Biology","A light already uses all electricity given to emit light.","B","0"
1214170,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,1,70,"Biology",.,"C","1"
1214170,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",214,1,70,"Biology","Food gives her energy.","A","1"
1214170,"D","PL.Q11.EED11.OE_E","1",2,"Biology",214,1,70,"Biology","The prey decreases.","A","0"
1214170,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",214,1,70,"Biology","The sun is the first source for energy. Then plants and so on.","B","1"
1214174,"D","PL.Q44.PED11.OE_P","1",2,"Biology",214,1,74,"Biology","10. A fan produces friction, kinetic energy, and creates noise in the process.","D","1"
1214174,"D","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,1,74,"Biology","14. Both release energy as both create a reaction with fire.","C","1"
1214174,"D","PL.Q12.BLS1.OE_B","1",2,"Biology",214,1,74,"Biology","18. Food gives people energy to produce kinetic energy.","A","1"
1214174,"D","PL.Q11.EED11.OE_E","1",2,"Biology",214,1,74,"Biology","2. Energy decreases at an exponential rate when consumed. Trophic levels / Biomass will decrease due to the rate of consumption","D","1"
1214174,"D","PL.Q14.BLS3.OE_BCEP","1",2,"Biology",214,1,74,"Biology","3. The sun is the ultimate and original source of energy. The sun produces per plants which is the first level of energy distribution. The sun is the source of all energy in the world.","B","1"
1214176,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",214,1,76,"Biology","It's the sun's heat that makes the water evaporates and condence in the air.","B","1"
1214176,"A","PL.Q02.EET2.OE_E","1",2,"Biology",214,1,76,"Biology","I know the light from the sun is converted to a chemical thanks to the plant.","B","1"
1214176,"A","PL.Q44.PED11.OE_P","1",2,"Biology",214,1,76,"Biology","If 100% of it's energy is being used then it'll continue to glow.","C","0"
1214176,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,1,76,"Biology","I know coal is burned for chemical energy while fireworks release sound and light energy.","C","1"
1214176,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",214,1,76,"Biology","Energy comes from the food as other things you've eaten.","A","1"
1214245,"B","PL.Q44.PED11.OE_P","1",2,"Biology",214,2,45,"Honors Biology","I guess I didn't feel like reading it","C","0"
1214245,"B","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,2,45,"Honors Biology","c. Burning coal will release energy and exploding fireworks do the same.","C","1"
1214245,"B","PL.Q12.BLS1.OE_B","1",2,"Biology",214,2,45,"Honors Biology","c. I guessed","C","0"
1214245,"B","PL.Q03.EED3.OE_BCEP","1",2,"Biology",214,2,45,"Honors Biology","1. My choice was e because we learned that the dear gets 10% of the grass's energy and the wolf gets 10% of the dear's energy","E","1"
1214245,"B","PL.Q05.EEC5.OE_E","1",2,"Biology",214,2,45,"Honors Biology","b. it makes sense","B","0"
1214441,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",214,4,41,"Biology","2. Because the sun melts water?","B","1"
1214441,"A","PL.Q02.EET2.OE_E","1",2,"Biology",214,4,41,"Biology","3. Because animals eat grass or animals which give them chemical energy.","B","1"
1214441,"A","PL.Q44.PED11.OE_P","1",2,"Biology",214,4,41,"Biology","10. Because electricity can develope light, and vice-versa","C","0"
1214441,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,4,41,"Biology",.,"C","1"
1214441,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",214,4,41,"Biology","18. Because animal's energy is food, allowing bodily movement","A","1"
1214446,"F","PL.Q44.PED11.OE_P","1",2,"Biology",214,4,46,"Biology","18. Keisha gets her energy from the food she has eaten, it's potential energy that is stored.","A","0"
1214446,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,4,46,"Biology",.,"C","1"
1214446,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",214,4,46,"Biology",.,"A","1"
1214446,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",214,4,46,"Biology","10. Because, that's where solar panels come from. They use the same concept","C","0"
1214446,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",214,4,46,"Biology","14. Both because burning coal, that's what keep trains moving, and fire works are works, because of the energy.",.,.
1214546,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",214,5,46,"Honors Biology","Evaporation, etc. w/ the sun","B","1"
1214546,"A","PL.Q02.EET2.OE_E","1",2,"Biology",214,5,46,"Honors Biology","Sun gives energy to plant ->deer","B","1"
1214546,"A","PL.Q44.PED11.OE_P","1",2,"Biology",214,5,46,"Honors Biology","I guessed","B","0"
1214546,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,5,46,"Honors Biology","Heat & Light Energy","C","1"
1214546,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",214,5,46,"Honors Biology","Food -> Keisha -> Bike","A","1"
1214547,"F","PL.Q44.PED11.OE_P","1",2,"Biology",214,5,47,"Honors Biology","If they attach solar cells on the light, then the light will always use energy provided and will have a never ending cycle of light converting to electricity.","C","0"
1214547,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,5,47,"Honors Biology","The burning coal releases chemical and heat energy while fireworks release heat, light, sound and chemical energy.","C","1"
1214547,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",214,5,47,"Honors Biology","Energy comes from food, so she converts the food energy into mechanical energy of pushing her bike.","A","1"
1214547,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",214,5,47,"Honors Biology","I said all of the energy is absorbed because after absorption from both chlorophylls, the energy decreases down to 0; meaning it all had to be converted.","A","0"
1214547,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",214,5,47,"Honors Biology","Energy is neither created or destroyed so even if there is a transformation, the energy level will stay the same.","C","1"
1214550,"A","PL.Q01.EES1.OE_BCEP","1",2,"Biology",214,5,50,"Honors Biology","The sun's radiation is what causes water to evaporate and is the main source making it all happen.","B","1"
1214550,"A","PL.Q02.EET2.OE_E","1",2,"Biology",214,5,50,"Honors Biology",.,"B","1"
1214550,"A","PL.Q44.PED11.OE_P","1",2,"Biology",214,5,50,"Honors Biology",.,"C","0"
1214550,"A","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,5,50,"Honors Biology","Burning coal is a way to make energy while fireworks aren't helping anything.","A","0"
1214550,"A","PL.Q12.BLS1.OE_B","1",2,"Biology",214,5,50,"Honors Biology",.,"A","1"
1214556,"F","PL.Q44.PED11.OE_P","1",2,"Biology",214,5,56,"Honors Biology","I chose C because there would be heat, sound, and mecahnical but not chemical.","D","1"
1214556,"F","PL.Q23.CCT2.OE_BCEP","1",2,"Biology",214,5,56,"Honors Biology","When you burn coal, you get energy along with fireworks there's heat energy.","C","1"
1214556,"F","PL.Q12.BLS1.OE_B","1",2,"Biology",214,5,56,"Honors Biology","Food gives you energy.","A","1"
1214556,"F","PL.Q20.BPD9.OE_B","1",2,"Biology",214,5,56,"Honors Biology","I chose A because the graph shows how there are times when both chlorophyll a : b have 0% absorption. It shows how it's only some.","B","1"
1214556,"F","PL.Q21.BPC10.OE_B","1",2,"Biology",214,5,56,"Honors Biology","Energy is loss after each level. Not all energy gets transferred, which is why I chose B.","B","0"
