id	Tweet text
3491	RT @MBAENews: What #CCSS Tests Promised & Will Actually Deliver. Problems but also progress. http://hechingerreport.org/what-this-springs-common-core-tests-promised-and-what-they-will-actually-deliver/�__�_ #PARCC #SBAC
3492	79% of teachers say PARCC trumps old tests website reports http://s.nola.com/mZ91JuH�_ via @nolanews #PARCC #CCSS #assessment
3502	New @teachplusMA report shows 72% of surveyed MA teachers think #PARCC is a better test than MCAS http://bit.ly/1Iq73ah
3519	Happy to oppose overtesting endless test prep and getting rid of art music or gym. But opting out is BS. Read http://strib.mn/1xXs9GP
3521	#PARCC & #SBAC aren't yet ideal but place more focus on math reasoning & finding evidence in ELA @hechingerreport http://hechingerreport.org/what-this-springs-common-core-tests-promised-and-what-they-will-actually-deliver/�__�_
3591	If we #OptOut of tests what's next? Braces? Lice checks? http://educationpost.org/school-choice-is-my-kids-path-to-the-american-dream/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctRipleyTweetMT2�__�_
3596	And what the hell is with this opting out stuff? When I was in school they told you a test was coming and YOU TOOK IT.
3740	#PARCC let me work with the most amazing testing team in my district. Absolutely focused and goal oriented. #resiliencechat
3757	Parents Should Welcome the New Common Core Tests - The Daily Beast Would you opt out of their yearly check-up?" http://www.thedailybeast.com/articles/2015/03/22/parents-should-welcome-the-new-common-core-tests.html�__�_"
3807	I'm going to say it i like #PARCC way more. #PARCCtesting
3847	#CO parent: Don_��t _��opt out_�� of transparency in our schools http://bit.ly/1boSZ5L�_ via @edu_post #PARCC #edcolo
3869	We shouldn't teach our kids to #OptOut: http://educationpost.org/school-choice-is-my-kids-path-to-the-american-dream/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctRipleyTweetMT1�__�_ @MikeThomasTweet
3879	@BariErlichson they won't be able to evaluate properly based on the nonsense answers these kids are providing on #parcc
3895	Parents Should Welcome New #CommonCore #Tests http://thebea.st/1MWimJM�_ via @thedailybeast Finally a reasonable comment. Great points #PARCC
4041	@RachelAnneLevy + I suspect there are some parallels between the mental models parents hold when opting a child out of a test and vaxs.
4048	Why parents should support #PARCC and #SBAC @HopeStreetGroup @codepted http://www.thedailybeast.com/articles/2015/03/22/parents-should-welcome-the-new-common-core-tests.html�__�_
4050	Much Needed! Pearson released an update that prevents students from being able to submit their test if they have unvisited units." #parcc"
4060	@meanwhilefl just because you may not understand something doesn't mean it's the devil" http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjM.&pageno=NA..&entity=QXIwMDQwMQ..&view=ZW50aXR5�__�_ #optout"
4103	#PARCC victimhood and why it's overblown. @starledger editorial: http://bit.ly/1FtPB6f #nj
4104	Enough. Let's dial down #PARCC victimhood for a broader public purpose. Struggling schools need this transparency. http://www.nj.com/opinion/index.ssf/2015/03/parcc_victimhood_and_why_its_overblown_editorial.html�__�_
4154	Reference: Parcc Rubric Backed by Science #parcc #rubric http://stuffspec.com/publicfiles/Parcc_Rubric.html�__�_
4156	Parents Should Welcome the New Common Core Tests #education #edchat #ccss #parents #commoncore #SBAC http://sco.lt/8yVXUn
4283	The movement" of parents opting their kids out of educational testing is mostly wishful thinking. Get tested people save your kids."
4328	Children shouldn't be used 2make a political statement. No one wins with #optout http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjI.&pageno=MTA.&entity=QXIwMTAwMg..&view=ZW50aXR5�__�_ #parcc @LouisianaStand #LaEd #LAlege
4332	Did your kids take #PARCC this week? Here's a video explaining why some educators think the test is a valuable tool: http://ow.ly/KBA6g
8008	@Dolcisima I am still trying to wrap my head around how looking at publicly shared social media posts is spying? #PARCC #justsaying
8010	Accurate test results are necessary for teachers & schools to identify areas of need." The case against #optout http://bit.ly/1GRVx5Z"
8047	Creative writing during PARCC activities. #jjh68learns #PARCC pic.twitter.com/jM16OjuUKG
8153	Should we be asking only if we test too much OR instead should we as if we are using assessments effectively? #parcc http://bit.ly/ohfipa2
8177	Students doing a great job here maintaining respectful testing environment w/high opt out numbers. #PARCC
8453	#OptOut movement" is media-driven controversy. 99% of kids in Louisiana taking the test: http://www.whlt.com/story/28529928/students-taking-common-core-standardized-tests-this-week�__�_ #FactsMatter"
8480	The #pearsoniswatching folks are so cute. Google Facebook Apple and the NSA know your kids way better than you or Pearson ever will.
8579	@Montel_Williams They're not. #pearsoniswatching is some serious Alex Jones-level bullshit.
8652	Relax #PARCC people. Pearson isn't spying on your kids. Tweeting a copy of a test however is probably going to attract some attention.
9004	Tisch: #optout is a _��terrible mistake._ѝ http://ny.chalkbeat.org/2015/03/16/merryl-tisch-opting-out-of-the-state-exams-is-a-terrible-mistake/%23.VQc8TUb3aEd�__�_ #ThingsMerrylSays #protectourschools
9519	79% of teachers rate #PARCC as a higher quality assessment than prior state tests per @teachplus report. http://bit.ly/1EpYZ7P @MBAENews
10259	Giving up on #PARCC now tells our children...their efforts did not matter." Yes @salberti. A valuable lesson on the risks of blind faith."
10450	@Okaikor @xianb8 @dannywoo15 @NancyOsborne180 @ChrisTienken Not defendng #parcc. Haven't looked at it. But standardizd tests can b diagnostc
10791	Thanks to tests like #PARCC kids will get a glimpse of testing beyond the post-secondary exp. #GRE #LSAT to achieve their future goals
13938	79% of teachers surveyed by @teachplus believe #PARCC better than their state's current assessment. #CCSS #edreform http://teachplus.org/news-events/publications/1000-teachers-examine-parcc-perspectives-quality-new-assessments�__�_
15466	Chicago Teacher: I Support High-Quality Assessments Like #PARCC http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/#.VP8_9RrwFJ0.twitter�__�_ via @edu_post @teachplusCHI #teachervoice #edreform
15764	Chicago Teacher: I Support High-Quality Assessments Like #PARCC #teachervoice #edchat #ccss #commoncore http://sco.lt/5yy9I1
16140	Better tests+better information+better instruction=more learning. #SmarterAssessments #SBAC http://www.sacbee.com/opinion/op-ed/soapbox/article12911246.html#storylink=cpy�__�_
16716	The #PARCC test measures the critical thinking skills that students need_��says this Chicago teacher: http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/?utm_source=twitter&utm_medium=social&utm_campaign=Choice&utm_content=TwChoiceChicagoTeach7�__�_
16793	This Chicago teacher will be using #PARCC as a learning opportunity: http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/?utm_source=twitter&utm_medium=social&utm_campaign=Choice&utm_content=TwChoiceChicagoTeach5�__�_ @lmcgslover
17255	Not all assessments are created equal but #PARCC is a good one says this teacher: http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/?utm_source=twitter&utm_medium=social&utm_campaign=Choice&utm_content=TwChoiceChicagoTeach2�__�_ @PARCCPlace
17433	This Chicago teacher says giving the #PARCC test is the right decision: http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/?utm_source=twitter&utm_medium=social&utm_campaign=Choice&utm_content=TwChoiceChicagoTeach1�__�_ @TeachPlus
17502	[Standardized tests]... can_��t measure and attach a meaningful number to the quality of original thought." #optout http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/01/the-important-things-standardized-tests-dont-measure/�__�_"
22175	Anti-testers just as ignorant as anti-vaxxers ~ As Common Core Testing Is Ushered In Parents and Students Opt Out http://nyti.ms/1wDojSo
22180	Parents want that free public edu 4 their kids but w/o pesky tests || Parents & Students Opt Out #CommonCore testing http://nyti.ms/1wDojSo
22315	Testing is a reality in life. Is opting out of common core tests a disservice to kids and families? @NYTimes http://nyti.ms/1zutBQo
29	Don't invoke #optout @PatriciaFahy109 and vote yes on #NYSBudget
44	Are #parcc items making better #assessment? #education #edtech #ccss #commoncore http://www.assess.com/parcc-part-ab-items-provide-bad-data/�__�_
134	Do standardized tests help catch the weakest among us" as one audience member claims? #TheSchoolProject #TestingSeason #PARCC"
167	Does testing help narrow the achievement gap by giving us data to track performance? #PARCC #TestingSeason @theschoolpr
168	How do we know how students are doing if we don't test them? #PARCC #TestingSeason @theschoolpr
228	#thirdgrade crushed their first day of #PARCC! First testing experience in the books!
295	@UrbanEdMOOC Our #TestingSeason panel tonight includes teachers & policy makers do you have any questions about #OptOut & #testing policy?
302	@beansouptimes: Have your followers submit questions on #testing policy & #OptOut to our panel of teachers & policy makers w/ #TestingSeason
1524	Tech Department PCIS and PSMS Staff did an awesome job this week in working together for a successful week of #PARCC testing. #Plymouth
1730	A huge congratulations to our 3rd grade scholars for completing their #PARCC testing today. Bravo! pic.twitter.com/N1e0dqsmK0
1746	We are officially finished with the #PARCC Performance Based Assessment! Thanks to everyone for your support. #PohatPride
1896	Getting scheduling squared away for the next round of #parcc and #air This is great. Good job @sampson_mp and @morrisce22
1939	@PARCCPlace I found the non calculator part much easier Also I liked the answer eliminator #coolblue9 #PARCC
1940	@PARCCPlace Also the drop down calculator was VERY useful! #coolblue9 #PARCC
1942	@PARCCPlace I like the set up of your test and how you mixed in multiple choice and fill in the blank questions. #coolblue9 #PARCC
1946	@PARCCPlace #coolblue9 #PARCC - I liked the non-calculator section because it was easier & a few questions were difficult -
3046	@MisteneC Adaptive Learning tool That Is Aligned With #RTI & Offers Test Based On Principals Of #PARCC & #SBAC http://bit.ly/1l9hNxv
3061	Parents: Have ?s about the #PARCC test we're taking next week? Check out these helpful answers at http://www.parcconline.org/frequently-asked-questions�__�_
3079	let's do this. #parcc
3095	PARCC testing is going surprising well for our students I believe in them! #PARCC #wegotthis @edchat
3104	@SimplySuzy beautiful thoughts on @FourthGraders and #PARCC http://fb.me/7aylCt6YI�_. Share with fellow Ts & Ss #elemtech @edtechteacher21
3139	In My Opinion This Is Best Resource About Lesson Planning for Parcc #lesson #planning ###parcc http://stuffspec.com/publicfiles/Lesson_Planning_For_Parcc.html�__�_
3253	Tomorrow is the first day of ELA #PARCC for the #jmswoburn 7th grade students. Get a good night sleep and a big breakfast! #youcandoit!
3370	For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC
3374	They approve: NJ Community college presidents will use controversial #PARCC tests for student placement http://bit.ly/1BKYi4P
3843	New Jersey's 19 community colleges to use #PARCC as an indicator of college readiness http://www.pressofatlanticcity.com/education/community-colleges-to-use-parcc-for-placement/article_a322c956-d1a3-11e4-91c1-17cfe0e84bd2.html?mode=jqm�__�_
3889	So proud of our @curleyk8 students who crushed their first day of the #PARCC! #curleycares
3903	Nationwide over 6 million students have completed the #PARCC PBA test. In MD that number's up to 551316! #PARCCreadypic.twitter.com/Vy7dtbwPiH
4010	A Recipe for #PARCC Success: @JohnsburgSD12 approaches new testing system with all skills on deck" approach: http://bit.ly/1Ba869c #CCSS"
4075	Don't forget #PARCC testing starts this week. Get a good night's sleep eat healthy & get to school on time!
4142	Understanding the blueprint of the #PARCC assessments http://bit.ly/1AvyVEt #PARCCready
4162	Good luck on #parcc
4240	Alright boys and girls let's #PARCC
4246	#PARCC's winding down. Time to focus on tech integration that enables otherwise impossible lessons... http://ow.ly/KEOqn #edtech #ETIPC
4258	The view from my 3rd floor office @BaltCitySchools at night is pretty awesome! I hope my 85K babies sleep well and finish #PARCC strong
4274	Thanks to our Primary classes for supporting our 4th and 5th graders during #PARCC !! pic.twitter.com/G7kWnWQabP
4318	Here's the #PARCC schedule for the week of March 23 at #MarlboroHSinNJ http://www.frhsd.com/district/index.php?q=node/5829�__�_ @StangGang_MHS @MHSscoreupdates
4432	Check out these tips for keeping your cool in #assessment time! Keep Calm and Proctor On: http://blog.edcite.com/2015/03/19/keep-calm-and-proctor-on-10-ways-to-keep-calm-during-assessment-season/�__�_ _�_ _�_ #sunchat #edchat #PARCC
8158	How Should Learning Be Assessed? | MindShift http://ow.ly/Kq78F #PARCC #LEYDENPLN
8184	Here's today's revised schedule! Congratulations on finishing your first day of #PARCC!!_�_ https://instagram.com/p/0Vd4rITLHi/
8187	Lots of great learning about #PARCC #1to1 #Chromebooks with my peers including @jorech @MissOlsen58 @ESciGuy @edu_katied @MrsBronke.
8191	#PARCC started today for grades 3 & 4 and everything went smoothly. The kids did an awesome job #pohatpride
8253	Knocking it out of the #PARCC! #d75learns #d75pridepic.twitter.com/YfSMI6tgDr
8281	#NJ: Getting it right #PARCC style http://bit.ly/1EnZTmK #PARCCreadypic.twitter.com/fQg97T6Iw2
8301	The sun's up & it's another day in #commoncore land! Morning #PARCC #SBAC #Pearson
8338	When I asked Landon how did his first day of #PARCC testing go he replied It was easy." His answer totally... http://fb.me/7cxskVax7"
8364	GM #Day2_� #PARCC Testing for the Kids #EatAGoodBreakfast https://instagram.com/p/0VOh4vFbKB/
8370	We_��re sending thoughts of perseverance & excellence to our 3rd grade scholars who start their #PARCC testing today!
8389	a 6th grader has @DanielPink book Drive queued for reading after he finishes his #parcc testing this morning!
8397	How is your #PARCC test going? I bet these folk had a good experience ;) http://fb.me/30cnbjMbe
8410	Shout out to #ALL the students of St. Helena Schools for #rocking the #PARCC on this week! #YouWillAchieveSuccess #IBelieveInYou �_�_�__��__�
8412	Berwyn round 2 of PARCC ..this time will be MATH wish us well! @BerwynSouth100 @HeritageD100 #PARCC #Math #WeGotThis
8423	You'll already have taken the #PARCC this morning when you see this but here's a combo_�_ https://instagram.com/p/0VIPV-TLDr/
8473	#Teachers be sure to check out #PARCC Professional Development Modules http://bit.ly/YRnWJB #PARCCready
8479	The 4th and 5th graders of City Springs are ready for the #PARCC exam! @BaltCitySchools https://instagram.com/p/0VCvRiA8p_/
8504	Good luck to all our Third Graders taking the #PARCC today. #SouthOrange teachers do a phenomenal job.
8520	#GoodMorning Make sure you guys eat a balanced breakfast It'll help you sustain while taking the #PARCC test.... http://fb.me/3ksHq2XEB
8536	Great start to #PARCC testing @casejrhigh - keep up the good work #teamwork #winners
8603	Owlstars remember tomorrow at 8am is our 1st ever PARCC test! Please be on time so we can start immediately and rock the #PARCC
8633	Had the pleasure of focusing on #edtech rather than #PARCC because testing went so well #PARCCready
8682	346 tested. Had 8 problems. iPads & wifi worked great! #PARCC #edtech #edutech @davidinark helped w the user issues & then the setup at HHS!
8684	346 tested. Had 8 problems. iPads and wifi worked great! #PARCC #edtech #edutech
8778	Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC
8789	In the Spotlight: New tests will prepare students for success #education #edchat #ccss #commoncore #PARCC http://sco.lt/8Ph0pl
8802	#Mashpee should be proud. Day One of #PARCC went very well. Students worked hard and staff made it happen. Kudos to all!
8803	My appreciation & thanks to our 7 & 8 graders and staff for all of your efforts as we began #PARCC. #Thankyoupic.twitter.com/AraceB1QeZ
8936	Proud of the @FHSClass_2018 for facing day 1 of #PARCC with the maturity patience and positive attitude we expected of you. #ClassActs
10033	Good Luck to all my teacher peeps giving the #PARCC test this week! pic.twitter.com/mFzLxmIh3y
10256	5 strategies for success on standardized tests - http://bit.ly/1HUxuEL #caedchat #sunchat #edchat #PARCC #SmarterBalance
10260	3 weeks until #PARCC! Time to strengthen our problem solving skills and practice persevering! #PARCCready
10399	I'm looking forward to #PARCC to see how my students manage against rigorous standards and questions vis a vis students around the nation.
22282	@dgburris @DataDiva @getwhatugive @Caplee62 Given #NCLB explicitly reqs demonstrably reliable & valid measures #PARCC/ #SBAC don't qualify?
22284	PARCC testing begins in the morning with Junior High and High School. Be sure to rest your brain tonight. #PARCC #nextgen
22395	So much behind-the-scenes work happening for #PARCC this weekend. Thanks to everyone for the great teamwork!
22747	Our experts' advice to calm nerves and improve test performance http://eepurl.com/bfBPGf #PARCC #anxiety翾
50000	Wed and Thurs are dress down days for students who have the Gold #PARCC Pride Points for both Reading and Math #pbis
50001	Our #AwesomeStudents did a great job with #PARCC day 1. Many used #WWC to answer their essay question @NRMSchool @pcdaly
50002	Proud of your hard work on the #PARCC today. Two days to go for #ELA. Use those strategies watch the time & show them what you can do!
50003	First day of #PARCC testing done today. Very proud of our sixth graders and their willingness to take on this new challenge!!!
50004	Teacher gives hilarious pep talk prior to #sbac #humor is excellent test prep. #brains #stresspic.twitter.com/WXCH2gLPOB
50005	We can do this! #beamazing #PARCC
50006	Healthy breakfast cookies for my smart cookies…first day of #PARCC here we go! @Bridge Boston… https://instagram.com/p/0447knO6ha/
50007	Goodnight and good luck to my students tomorrow on the ELA #PARCC Exam! #CommonCore #GoGrade8
50008	Cuz the #PARCC test ain't got nothin on us" - @RoxburyPrepRPC #uncommonschools can't get the song out of my head #joyfactor"
50009	Tomorrow our 6th graders begin #Parcc testing. Get to bed early eat a healthy breakfast and get to school on time!
50010	No #PARCC fuss from these #AwesomeStudents! We're going to rock this not so difficult test... It doesn't hurt that we don't have homework!
50011	Good luck to @eagleacademypcs students this week on the #PARCC. #dccharter students rock!
50012	Remember to go to bed early and bring a reading book to #PARCC testing tomorrow! pic.twitter.com/lYBJhUnx2M
50013	Today is the day! Wish our upper grades luck as they Rock it out of the #PARCC #EaglePride #dccharters http://ow.ly/i/a9r0j
50014	@KellyORourke2 @teachplus @CommonCoreForum @stevenlmass I'm hearing kids like how #parcc makes them think. Sorry to disappoint
50015	Click to see why we should put that #OptOut energy into fixing real problems in education: http://educationpost.org/opting-out-is-not-progressive/?utm_source=twitter&utm_medium=social&utm_campaign=Acct&utm_content=TwAcctOptoutChicagoGw4 … @theschoolpr
50016	Implementing the new test will be hard but worth it" #PARCC #teachervoice #edchat http://ow.ly/L25FF"
50017	How will anyone know if education is heading the right direction?" Testing #optout is a mistake: http://ow.ly/L2YTL @TimesUnion"
50018	Senators are concerned with how student achievement might be measured if a parent can opt their children out of taking any test. #HB2246
50019	Guest Commentary: Reject legislation to opt out on testing. @denverpost Op-Ed piece #edcolo #edchat http://www.denverpost.com/opinion/ci_27798473/guest-commentary-reject-legislation-opt-out-testing …
50020	Our 2nd Assignment of The Day features this outstanding #parcc sample assignment! Check it out! https://edcite.com/1jd3e7 #edtech
50021	A #CT parent and former superintendent reflects on the importance of testing. http://ow.ly/L2uj6 #SBAC #education #edreform
50022	I wonder what the #'s are. RT “ @StudentSuccess: Opting out of tests is a “mistake” writes @timesunion: http://bit.ly/1MtIPBI  #optout"
50023	#PARCC will broaden teaching repertoire and help Ss' learn more about how technology can help them in every subject http://bit.ly/1E5JDZ0
50024	Why do we need #SBAC testing anyway? Read about why we support it here: http://ow.ly/KZDWX #edreform #education
50025	#SBAC will provide a springboard for improvement; eliminating the tests is counterproductive/ potentially destructive http://ow.ly/KZCCO
50026	RT @waOSPI: The latest standardized test has a lot going for it" http://www.bellinghamherald.com/2015/03/29/4210209/our-voice-the-latest-standardized.html … #waedu #SBAC"
50027	PARCC assessments provide the schools teachers and parents with data to improve student performance. #PARCC htt…/bit.ly/1F9ebGW
50028	The latest standardized test has a lot going for it" http://www.bellinghamherald.com/2015/03/29/4210209/our-voice-the-latest-standardized.html … #waedu #SBAC"
50029	@NorwichBulletin compares #SBAC to CEA's testing proposal: Eliminating student testing only delays education reform" http://shar.es/1ggVAN"
50030	More non-educators with their heads up their asses… Testing opt-out a mistake http://blog.timesunion.com/opinion/testing-opt-out-a-mistake/32104/ … #pearson #parcc
50031	Testing was created to address a real problem. Opting out is folly. We need measures of school success. http://www.mypalmbeachpost.com/news/news/opinion/editorial-opting-out-not-best-option-for-parents-s/nkgnY/?icmp=pbp_internallink_invitationbox_apr2013_pbpstubtomypbp_launch#b5c2a772.2631024.735687%23__federated=1 …
